#filename theo_tt tshift obs_tt polarity stnm netwk rayp stla stlo stel evla evlo evdp dist az baz snr xcoeff0 ccmean maxamp
PQ.CMBN..BHZ.M.2025.087.063142.SAC 765.237351 7.129303 772.366654 1 CMBN PQ 0.043150 69.120598 -105.041901 0.005000 22.013000 95.921997 35.000000 87.755885 7.341547 340.635070 30.266611 1.000000 0.965594 0.173914
IU.TIXI.10.BHZ.M.2025.087.062811.SAC 553.729295 7.157342 560.886637 1 TIXI IU 0.066224 71.634102 128.866699 40.000000 22.013000 95.921997 35.000000 53.072713 12.423810 219.154491 74.474151 1.000000 0.963761 0.165936
CN.INK..BHZ.M.2025.087.063118.SAC 741.113182 8.080801 749.193983 1 INK CN 0.046595 68.306503 -133.525406 44.000000 22.013000 95.921997 35.000000 82.921470 16.470721 314.814961 46.416174 1.000000 0.965929 0.172929
AK.C26K..BHZ.M.2025.087.063056.SAC 718.896486 8.937128 727.833614 1 C26K AK 0.049418 69.917503 -144.912201 139.000000 22.013000 95.921997 35.000000 78.759623 17.841114 304.395583 72.903296 1.000000 0.962423 0.137374
AK.C27K..BHZ.M.2025.087.063058.SAC 721.682561 8.884877 730.567438 1 C27K AK 0.049080 69.625999 -143.711395 392.000000 22.013000 95.921997 35.000000 79.268850 17.841934 305.522494 66.007764 1.000000 0.965125 0.143780
AK.PS01..BHZ.M.2025.087.063049.SAC 711.974215 8.247722 720.221937 1 PS01 AK 0.050239 70.258003 -148.614105 9.000000 22.013000 95.921997 35.000000 77.509976 18.245532 300.999718 113.646177 1.000000 0.894552 0.101243
AK.A21K..BHZ.M.2025.087.063033.SAC 695.828573 8.110829 703.939402 1 A21K AK 0.052101 71.322098 -156.617493 5.000000 22.013000 95.921997 35.000000 74.673182 18.516084 293.506452 66.336155 1.000000 0.967525 0.154947
AK.E27K..BHZ.M.2025.087.063106.SAC 729.647627 8.756322 738.403949 1 E27K AK 0.048072 68.186096 -141.595093 654.000000 22.013000 95.921997 35.000000 80.743562 18.555712 307.624211 54.662588 1.000000 0.967074 0.166537
CN.CROWY..BHZ.M.2025.087.063111.SAC 734.258187 8.615072 742.873259 1 CROWY CN 0.047466 67.613602 -139.871704 564.000000 22.013000 95.921997 35.000000 81.610392 18.601408 309.228230 54.722309 1.000000 0.967132 0.163297
AK.D25K..BHZ.M.2025.087.063055.SAC 718.383176 8.475335 726.858511 1 D25K AK 0.049479 69.321999 -146.375107 770.000000 22.013000 95.921997 35.000000 78.666739 18.636164 303.183251 55.887741 1.000000 0.965111 0.149385
AK.C23K..BHZ.M.2025.087.063047.SAC 709.840035 8.430808 718.270843 1 C23K AK 0.050487 69.835999 -150.612595 179.000000 22.013000 95.921997 35.000000 77.130387 18.972083 299.283646 56.209204 1.000000 0.968642 0.151160
AK.E25K..BHZ.M.2025.087.063100.SAC 723.368845 8.788472 732.157317 1 E25K AK 0.048873 68.120697 -145.567993 652.000000 22.013000 95.921997 35.000000 79.579194 19.490410 304.100248 54.516076 1.000000 0.969333 0.165468
AK.TOLK..BHZ.M.2025.087.063052.SAC 714.966683 8.536921 723.503604 1 TOLK AK 0.049885 68.640800 -149.572403 760.000000 22.013000 95.921997 35.000000 78.048526 19.846577 300.447895 59.063685 1.000000 0.969324 0.160432
AK.PS04..BHZ.M.2025.087.063053.SAC 715.961902 8.488904 724.450806 1 PS04 AK 0.049767 68.421501 -149.356796 849.000000 22.013000 95.921997 35.000000 78.228611 19.998723 300.680444 59.749900 1.000000 0.969883 0.169935
AK.E24K..BHZ.M.2025.087.063055.SAC 718.486392 8.847743 727.334135 1 E24K AK 0.049467 68.074799 -148.486801 847.000000 22.013000 95.921997 35.000000 78.685416 20.131798 301.515681 53.254188 1.000000 0.969309 0.178972
AK.D22K..BHZ.M.2025.087.063046.SAC 708.788266 8.803835 717.592101 1 D22K AK 0.050609 68.879898 -152.682098 532.000000 22.013000 95.921997 35.000000 76.943318 20.193603 297.625879 58.898420 1.000000 0.968624 0.164276
AK.C21K..BHZ.M.2025.087.063041.SAC 704.270710 8.953994 713.224704 1 C21K AK 0.051131 69.156502 -154.783295 409.000000 22.013000 95.921997 35.000000 76.143742 20.286972 295.686068 78.657515 1.000000 0.961358 0.144924
AK.I27K..BHZ.M.2025.087.063115.SAC 737.999918 8.953046 746.952964 1 I27K AK 0.046996 65.603500 -141.615295 874.000000 22.013000 95.921997 35.000000 82.323967 20.626745 307.919839 53.944629 1.000000 0.966141 0.158008
AK.E22K..BHZ.M.2025.087.063049.SAC 712.353599 8.437641 720.791240 1 E22K AK 0.050194 68.134300 -151.813202 772.000000 22.013000 95.921997 35.000000 77.577454 20.714994 298.551444 63.176502 1.000000 0.966919 0.167313
AK.FYU..BHZ.M.2025.087.063105.SAC 728.700005 8.824532 737.524537 1 FYU AK 0.048199 66.565697 -145.234207 137.000000 22.013000 95.921997 35.000000 80.566107 20.721333 304.625818 51.017916 1.000000 0.966947 0.157689
AK.E21K..BHZ.M.2025.087.063044.SAC 707.555691 8.309000 715.864691 1 E21K AK 0.050752 68.441399 -153.972107 653.000000 22.013000 95.921997 35.000000 76.724090 20.815306 296.568373 60.924283 1.000000 0.969663 0.170663
AK.C19K..BHZ.M.2025.087.063032.SAC 695.341909 8.792665 704.134574 1 C19K AK 0.052157 69.104897 -159.587402 745.000000 22.013000 95.921997 35.000000 74.589411 21.043994 291.390951 53.481890 1.000000 0.967248 0.171304
